"term","Estimate","Std. Error","t value","Pr(>|t|)","index","AIC"
"X.Intercept.",72.8212667169865,6.39128718483059,11.3938342326135,5.36912524330562e-28,"E/e' (average)",8220.46324895703
"cs.e_e_ave..df...3.",0.00992268651114259,0.226421650713294,0.0438239297341187,0.965055566381129,"E/e' (average)",8220.46324895703
"cs.age..df...3.",-0.74888742924061,0.0740853488304422,-10.1084416968134,1.05677312786075e-22,"E/e' (average)",8220.46324895703
"Sex_num",-4.41432266192892,2.55475759032129,-1.72788317711731,0.0843907849067516,"E/e' (average)",8220.46324895703
"LBMI",1.74755846082268,0.215303529512059,8.11671998495872,1.77772872850027e-15,"E/e' (average)",8220.46324895703
"X.Intercept..1",3.84933862322519,0.0726728638483107,52.9680326243902,3.40413915949162e-265,"E/e' (average)",8220.46324895703
"cs.age..df...3..1",-0.00649877087777633,0.00145121185450533,-4.47816826854102,8.61063048678831e-06,"E/e' (average)",8220.46324895703
"X.Intercept.",89.3003737541519,6.81320860163608,13.1069484255491,1.70939731950894e-35,"LAVI (mL/m²)",7607.64850903269
"cs.la_vol_index..df...3.",-0.338226567802019,0.0941622306906599,-3.59195576953943,0.000349583902328621,"LAVI (mL/m²)",7607.64850903269
"cs.age..df...3.",-0.784065872591693,0.0747485848237644,-10.4893741391933,4.08217429144184e-24,"LAVI (mL/m²)",7607.64850903269
"Sex_num",-2.66632437124882,2.51139376905277,-1.06169108329614,0.288717243367725,"LAVI (mL/m²)",7607.64850903269
"LBMI",1.68931177953329,0.218363959937325,7.73622066580109,3.3019378754422e-14,"LAVI (mL/m²)",7607.64850903269
"X.Intercept..1",3.7544826288186,0.0786872469594442,47.7139914521812,1.4959893831076e-229,"LAVI (mL/m²)",7607.64850903269
"cs.age..df...3..1",-0.00489821342699475,0.00154860999274385,-3.16297418326485,0.00162452221222582,"LAVI (mL/m²)",7607.64850903269
"X.Intercept.",73.7150468183323,8.19815271977044,8.99166548100075,2.0772220026467e-18,"TR Vmax (cm/s)",7273.84168924852
"cs.tr_max_vel..df...3.",0.0155498353636266,0.0276926057143357,0.561515789594943,0.574618780480231,"TR Vmax (cm/s)",7273.84168924852
"cs.age..df...3.",-0.737091315380573,0.0619515155376202,-11.897873828978,5.92643503479614e-30,"TR Vmax (cm/s)",7273.84168924852
"Sex_num",-2.81973443827313,2.32188206979122,-1.21441759465703,0.224982074491049,"TR Vmax (cm/s)",7273.84168924852
"LBMI",1.47492702081885,0.205777571572524,7.16757909789515,1.87689600404989e-12,"TR Vmax (cm/s)",7273.84168924852
"X.Intercept..1",3.74929322533551,0.0779888612251396,48.0747271653574,4.19392311287278e-228,"TR Vmax (cm/s)",7273.84168924852
"cs.age..df...3..1",-0.00643524388790447,0.00156726158164468,-4.10604328165268,4.48105093934685e-05,"TR Vmax (cm/s)",7273.84168924852
"X.Intercept.",71.1539669802307,6.35135645913427,11.2029560044453,2.78852758425456e-27,"Average e' (cm/s)",8683.77441716603
"cs.e_prime_ave..df...3.",-0.0476314775957411,0.273731141086262,-0.174008252794046,0.861900070961487,"Average e' (cm/s)",8683.77441716603
"cs.age..df...3.",-0.759441859168594,0.0699612496738712,-10.8551785839844,8.23889762316489e-26,"Average e' (cm/s)",8683.77441716603
"Sex_num",-3.25480652414689,2.42164920145117,-1.34404542251473,0.17928939211566,"Average e' (cm/s)",8683.77441716603
"LBMI",1.86267257866078,0.209638476761823,8.8851655833057,3.70034732644578e-18,"Average e' (cm/s)",8683.77441716603
"X.Intercept..1",3.79456957500615,0.070911183054385,53.5115818346441,1.87192382476112e-275,"Average e' (cm/s)",8683.77441716603
"cs.age..df...3..1",-0.00549163544481633,0.00141620713477363,-3.87770638204992,0.000113511232144714,"Average e' (cm/s)",8683.77441716603
"X.Intercept.",76.6638403481206,5.80576851578923,13.2047704174955,7.8179454524681e-37,"E/A Ratio",10116.150334512
"cs.mv_e_a..df...3.",-0.00542947301509267,2.0430710734664,-0.00265750569601119,0.997880146077754,"E/A Ratio",10116.150334512
"cs.age..df...3.",-0.811621464054382,0.0619397753337483,-13.1033969639242,2.45535168041025e-36,"E/A Ratio",10116.150334512
"Sex_num",-4.84311517790804,2.23139810088594,-2.17043976867469,0.0302066616014079,"E/A Ratio",10116.150334512
"LBMI",1.75409743050365,0.182247009004963,9.6248352172182,4.88869371254213e-21,"E/A Ratio",10116.150334512
"X.Intercept..1",3.76548379429211,0.0641955880616351,58.6564265238416,0,"E/A Ratio",10116.150334512
"cs.age..df...3..1",-0.00550513039666999,0.00129489888315426,-4.25139790317835,2.32184166511026e-05,"E/A Ratio",10116.150334512
